t,cpu,err,log,y,p,trust,action,drift
0,35.639965350850204,0.007609847342613402,INFO ok,0,0.1,1.0,no_op,0
1,39.507019339186776,0.020325581163700715,INFO ok,0,0.1,1.0,no_op,0
2,36.821605371601386,0.02025153835304202,INFO ok,0,0.1,1.0,no_op,0
3,44.327656000378006,0.014850863269495824,INFO ok,0,0.1,1.0,no_op,0
4,46.90033023323303,0.015145304183895673,INFO ok,0,0.1,1.0,no_op,0
5,39.9438928935738,0.026819795644026246,INFO ok,0,0.1,1.0,no_op,0
6,44.7507020212855,0.03776628761105656,INFO ok,0,0.1,1.0,no_op,0
7,42.290049752583265,0.0309969472200436,INFO ok,0,0.1,1.0,no_op,0
8,44.29391922274799,0.02396822649833584,INFO ok,0,0.1,1.0,no_op,0
9,47.95424069540068,0.013837080172480979,INFO ok,0,0.1,1.0,no_op,0
10,48.273572266308584,0.03573355905785113,INFO ok,0,0.1,1.0,no_op,0
11,45.09605201306105,0.021876171599559173,INFO ok,0,0.1,1.0,no_op,0
12,49.27206098492781,0.018492468686892142,INFO ok,0,0.1,1.0,no_op,0
13,50.229460637760624,0.0,INFO ok,0,0.1,1.0,no_op,0
14,49.579375663379906,0.006870001761796689,INFO ok,0,0.1,1.0,no_op,0
15,47.045760301875234,0.010688636962199079,INFO ok,0,0.1,1.0,no_op,0
16,44.870948093419685,0.017248396495191803,INFO ok,0,0.1,1.0,no_op,0
17,54.30382787541539,0.012817383414761574,INFO ok,0,0.1,1.0,no_op,0
18,54.733373439103644,0.0,INFO ok,0,0.1,1.0,no_op,0
19,46.81576129938438,0.01938394084820097,INFO ok,0,0.1,1.0,no_op,0
20,46.39726204920015,0.013912544602133856,INFO ok,0,0.1,1.0,no_op,0
21,47.67684404447469,0.02299370639904461,INFO ok,0,0.1,1.0,no_op,0
22,47.25024608098972,0.034557085617951136,INFO ok,0,0.1,1.0,no_op,0
23,51.08984667584674,0.02872608239047391,INFO ok,0,0.1,1.0,no_op,0
24,48.54595995599644,0.014850949738460422,INFO ok,0,0.1,1.0,no_op,0
25,48.607015651880225,0.039579667465289625,INFO ok,0,0.1,1.0,no_op,0
26,50.15099733996071,0.014946181840167097,INFO ok,0,0.1,1.0,no_op,0
27,51.36193560067938,0.02043537478119626,INFO ok,0,0.1,1.0,no_op,0
28,51.95782450363866,0.024386707386366516,INFO ok,0,0.1,1.0,no_op,0
29,54.206465210899054,0.015314274646139641,INFO ok,0,0.1,1.0,no_op,0
30,55.82259817086114,0.016109047854955393,INFO ok,0,0.1,1.0,no_op,0
31,53.92502198821011,0.013374033036933403,INFO ok,0,0.1,1.0,no_op,0
