t,cpu,err,log,source,y,p,trust,action,drift
0,42.865570538142336,0.02418761887354576,INFO ok,trusted,0,0.1,1.0,no_op,0
1,37.417935384190685,0.03027472396694443,INFO ok,trusted,0,0.1,1.0,no_op,0
2,43.54491748278727,0.011769705296778614,INFO ok,trusted,0,0.1,1.0,no_op,0
3,40.551902549517195,0.017069310294877623,INFO ok,trusted,0,0.1,1.0,no_op,0
4,38.5722427371898,0.01952665746219435,INFO ok,trusted,0,0.1,1.0,no_op,0
5,47.97776250752975,0.02820314768738762,INFO ok,trusted,0,0.1,1.0,no_op,0
6,44.29803035110426,0.014217457039322352,INFO ok,trusted,0,0.1,1.0,no_op,0
7,44.02744009488199,0.0190928581663941,INFO ok,trusted,0,0.1,1.0,no_op,0
8,49.56388512509134,0.013972963090670809,INFO ok,trusted,0,0.1,1.0,no_op,0
9,45.63784495081317,0.01938668395418054,INFO ok,trusted,0,0.1,1.0,no_op,0
10,45.08912347819973,0.017231095875109834,INFO ok,trusted,0,0.1,1.0,no_op,0
11,47.10794607017675,0.01568292099170905,INFO ok,trusted,0,0.1,1.0,no_op,0
12,44.08159195175838,0.013446358986107652,INFO ok,trusted,0,0.1,1.0,no_op,0
13,44.779943951763855,0.01339671832659042,INFO ok,trusted,0,0.1,1.0,no_op,0
14,47.23229187512049,0.031519166989423045,INFO ok,trusted,0,0.1,1.0,no_op,0
15,47.19100270987682,0.025543925880818448,INFO ok,trusted,0,0.1,1.0,no_op,0
16,49.24865734842995,0.04061196703785233,INFO ok,trusted,0,0.1,1.0,no_op,0
17,46.648532045048334,0.013993826070718529,INFO ok,trusted,0,0.1,1.0,no_op,0
18,49.19542141142411,0.021080627005870226,INFO ok,trusted,0,0.1,1.0,no_op,0
19,52.23882110665069,0.02606342306169175,INFO ok,trusted,0,0.1,1.0,no_op,0
20,45.78417022257178,0.016955817326516034,INFO ok,trusted,0,0.1,1.0,no_op,0
21,52.65391187045943,0.025171533301374456,INFO ok,trusted,0,0.1,1.0,no_op,0
22,48.68211900763656,0.0,INFO ok,trusted,0,0.1,1.0,no_op,0
23,53.205532212391795,0.02994891442080122,INFO ok,trusted,0,0.1,1.0,no_op,0
24,56.51758843058479,0.009823011535992568,INFO ok,trusted,0,0.1,1.0,no_op,0
25,48.83073057071582,0.01718232005308925,INFO ok,trusted,0,0.1,1.0,no_op,0
26,51.36630828253024,0.02200984743323227,INFO ok,trusted,0,0.1,1.0,no_op,0
27,55.225753944398484,0.03631114980229932,INFO ok,trusted,0,0.1,1.0,no_op,0
28,52.42459338024519,0.03450202313471967,INFO ok,trusted,0,0.1,1.0,no_op,0
29,49.06872558996341,0.00792373252716355,INFO ok,trusted,0,0.1,1.0,no_op,0
30,57.80376462858415,0.019001235628762242,INFO ok,trusted,0,0.1,1.0,no_op,0
31,53.75674970850817,0.009343803434686658,INFO ok,trusted,0,0.1,1.0,no_op,0
32,57.4919558759186,0.013509813132823834,INFO ok,trusted,0,0.1,1.0,no_op,0
33,50.43772747868811,0.022365783549551037,INFO ok,trusted,0,0.1,1.0,no_op,0
34,57.03787350310957,0.018426911151655907,INFO ok,trusted,0,0.1,1.0,no_op,0
35,52.27034331773295,0.023946052217094886,INFO ok,trusted,0,0.1,1.0,no_op,0
36,52.83201094806124,0.026523516523533464,INFO ok,trusted,0,0.1,1.0,no_op,0
37,59.190189698329135,0.016829716641931648,INFO ok,trusted,0,0.1,1.0,no_op,0
38,54.65686303363701,0.022038325159271115,INFO ok,trusted,0,0.1,1.0,no_op,0
39,58.727394985204704,0.02046928259348762,INFO ok,trusted,0,0.1,1.0,no_op,0
40,51.83431426532909,0.02487016812362624,INFO ok,trusted,0,0.1,1.0,no_op,0
41,50.039360670859054,0.030298106998164695,INFO ok,trusted,0,0.1,1.0,no_op,0
42,50.60164884710719,0.013428376079827777,INFO ok,trusted,0,0.1,1.0,no_op,0
43,58.05531958900696,0.016863044910035846,INFO ok,trusted,0,0.1,1.0,no_op,0
44,55.44558882005428,0.015910538126745054,INFO ok,trusted,0,0.1,1.0,no_op,0
45,51.336964477374124,0.03243177961580938,INFO ok,trusted,0,0.1,1.0,no_op,0
46,57.345057778588696,0.022899283475565167,INFO ok,trusted,0,0.1,1.0,no_op,0
47,58.90914564000005,0.009854853131948596,INFO ok,trusted,0,0.1,1.0,no_op,0
48,56.204422126514636,0.017771974223920066,INFO ok,trusted,0,0.1,1.0,no_op,0
