t,cpu,err,log,source,y,p,trust,action,drift
0,39.85432816264522,0.03448561627458312,INFO ok,trusted,0,0.5,1.0,scale_up,0
1,38.14474505477962,0.023114270154943786,INFO ok,trusted,0,0.49875000260416025,1.0,scale_up,0
2,40.67647348128033,0.020283535884591957,INFO ok,trusted,0,0.5003954791126056,1.0,scale_up,0
3,45.13175711348808,0.017176200224272256,INFO ok,trusted,0,0.47714775756170763,1.0,scale_up,0
4,40.56466844011469,0.01812242696290704,INFO ok,trusted,0,0.4809656536615566,1.0,scale_up,0
5,42.43656015807595,0.009319782843665721,INFO ok,trusted,0,0.44012250053081614,1.0,scale_up,0
6,46.92757382146088,0.024460294300538483,INFO ok,trusted,0,0.47547206663782804,1.0,scale_up,0
7,42.339973989399105,0.031762100401584774,INFO ok,trusted,0,0.5303037804598852,1.0,scale_up,0
8,44.68992620396267,0.02301518114822186,INFO ok,trusted,0,0.4679664760464289,1.0,scale_up,0
9,49.951972545287184,0.0357067958835435,INFO ok,trusted,0,0.44104863553238116,1.0,scale_up,0
10,43.72821935803267,0.03562140559297306,INFO ok,trusted,0,0.49584053926389965,1.0,scale_up,0
11,48.32302319355896,0.023961274091000517,INFO ok,trusted,0,0.42021478440546695,1.0,scale_up,0
12,49.76607430562143,0.02534336104352139,INFO ok,trusted,0,0.39804260217137477,1.0,no_op,0
13,48.91376304808351,0.01755822998819486,INFO ok,trusted,0,0.4074511395713906,1.0,scale_up,0
14,49.201198285930786,0.012482772355967089,INFO ok,trusted,0,0.3928566378491526,1.0,no_op,0
15,46.87962327604034,0.03726134905275055,INFO ok,trusted,0,0.4681371773576563,1.0,scale_up,0
16,53.878115377962764,0.013589327454274602,INFO ok,trusted,0,0.3099743309287418,1.0,no_op,0
17,46.45495058629565,0.024366025720324976,INFO ok,trusted,0,0.4606121088174097,1.0,scale_up,0
18,53.9276038728816,0.03432472920093746,INFO ok,trusted,0,0.32846764675413237,1.0,no_op,0
19,46.111068330532476,0.014381792658337805,INFO ok,trusted,0,0.468463796994176,1.0,scale_up,0
20,50.4464649774783,0.009151411570724273,INFO ok,trusted,0,0.36559104598437253,1.0,no_op,0
21,47.41442647165757,0.0,INFO ok,trusted,0,0.4002503386995343,1.0,scale_up,0
22,47.46640072909582,0.01419585116666401,INFO ok,trusted,0,0.42234652814956636,1.0,scale_up,0
23,49.74657290241464,0.017051063443808974,INFO ok,trusted,0,0.37694952258843967,1.0,no_op,0
24,52.43723618261264,0.009763759544000666,INFO ok,trusted,0,0.29165795057277866,1.0,no_op,0
25,51.90287338143535,0.031184595221848584,INFO ok,trusted,0,0.3821523477341516,1.0,no_op,0
26,49.326112651893496,0.010227929728615975,INFO ok,trusted,0,0.3665978726840423,1.0,no_op,0
27,49.349259564277446,0.01617394962537122,INFO ok,trusted,0,0.3849903214631309,1.0,no_op,0
28,50.5172200532288,0.026807874207179082,INFO ok,trusted,0,0.3971938584820774,1.0,no_op,0
29,52.487198699756036,0.018884572480551025,INFO ok,trusted,0,0.3096309703149436,1.0,no_op,0
30,53.745099781645294,0.017665507627855355,INFO ok,trusted,0,0.27336206994616263,1.0,no_op,0
31,56.70675747468672,0.004076108637380678,INFO ok,trusted,0,0.1693409403277451,1.0,no_op,0
32,51.128173226555,0.027093165780185426,INFO ok,trusted,0,0.39862078942155493,1.0,no_op,0
33,50.07379395926931,0.0021051858072479966,INFO ok,trusted,0,0.3212369096304954,1.0,no_op,0
34,51.81386572463499,0.027270912237649558,INFO ok,trusted,0,0.37913836953146146,1.0,no_op,0
35,55.65895697954362,0.013692743172018964,INFO ok,trusted,0,0.2159938256110882,1.0,no_op,0
36,56.20397756187169,0.023693996789970327,INFO ok,trusted,0,0.2418414745516858,1.0,no_op,0
37,55.89392617210646,0.00610029126196209,INFO ok,trusted,0,0.1923710816812046,1.0,no_op,0
38,59.53693204490836,0.026345494652870075,INFO ok,trusted,0,0.18314120515143464,1.0,no_op,0
39,58.13188687389802,0.02389113565852714,INFO ok,trusted,0,0.21385451842871908,1.0,no_op,0
40,58.09313054541664,0.023779183326860555,INFO ok,trusted,0,0.21850799327245496,1.0,no_op,0
41,51.677729543381176,0.02842305993673335,INFO ok,trusted,0,0.4263816169754565,1.0,scale_up,0
42,50.97286196498416,0.031179870471987246,INFO ok,trusted,0,0.45698252950064855,1.0,scale_up,0
43,50.42087514972483,0.02968877860896174,INFO ok,trusted,0,0.4611993536875867,1.0,scale_up,0
44,56.52776385028491,0.010634305216488872,INFO ok,trusted,0,0.21318333491817762,1.0,no_op,0
45,54.45635325746996,0.023867832706746504,INFO ok,trusted,0,0.3064725277782101,1.0,no_op,0
46,54.004844014332505,0.022837515585069076,INFO ok,trusted,0,0.3167346695112245,1.0,no_op,0
47,50.45761903575359,0.013400731529900962,INFO ok,trusted,0,0.409461511746005,1.0,scale_up,0
48,49.95388642890514,0.024183865629467918,INFO ok,trusted,0,0.4656151281347934,1.0,scale_up,0
49,53.83769867158871,0.019452811075394413,INFO ok,trusted,0,0.3068920552262584,1.0,no_op,0
50,56.9750725690502,0.027153239125111625,INFO ok,trusted,0,0.2320224011385727,1.0,no_op,0
51,57.11992707120428,0.014405393583100234,INFO ok,trusted,0,0.19801250260945188,1.0,no_op,0
52,55.22156087780745,0.007006943301272108,INFO ok,trusted,0,0.23200432608722038,1.0,no_op,0
53,49.40130797642343,0.01681853221738613,INFO ok,trusted,0,0.4739032826736058,1.0,scale_up,0
54,54.72034106709185,0.03154485878254458,INFO ok,trusted,0,0.3266885785145254,1.0,no_op,0
55,52.52290015572513,0.028016605179486835,INFO ok,trusted,0,0.3906775665450365,1.0,no_op,0
56,55.08076057835219,0.025592814537208193,INFO ok,trusted,0,0.2829242008866592,1.0,no_op,0
57,46.510701059411595,0.023439649849189854,INFO ok,trusted,0,0.6255610765502204,1.0,restart_service,0
58,49.18900344794779,0.021945400162517396,INFO ok,trusted,0,0.5016202482646357,1.0,scale_up,0
59,47.48355085793444,0.006074254282991172,INFO ok,trusted,0,0.5248065077870562,1.0,scale_up,0
