t,cpu,err,log,source,y,p,trust,action,drift
0,40.54182311338695,0.0275994701739566,INFO ok,trusted,0,0.1,1.0,no_op,0
1,41.95433795102269,0.015938598928124152,INFO ok,trusted,0,0.1,1.0,no_op,0
2,42.603412335911884,0.001614737691626001,INFO ok,trusted,0,0.1,1.0,no_op,0
3,46.14900639936844,0.01343356408038399,INFO ok,trusted,0,0.1,1.0,no_op,0
4,44.8816000025683,0.027046622738144687,INFO ok,trusted,0,0.1,1.0,no_op,0
5,45.24721479036764,0.003600776842528932,INFO ok,trusted,0,0.1,1.0,no_op,0
6,41.10575431691382,0.02418949210318072,INFO ok,trusted,0,0.1,1.0,no_op,0
7,39.795256234430326,0.03496911239502187,INFO ok,trusted,0,0.1,1.0,no_op,0
8,43.0674339065613,0.013884143063945392,INFO ok,trusted,0,0.1,1.0,no_op,0
9,43.254493070135,0.022479649988408745,INFO ok,trusted,0,0.1,1.0,no_op,0
10,49.585765375868455,0.016700187986645347,INFO ok,trusted,0,0.1,1.0,no_op,0
11,50.8813041209032,0.024328909030323285,INFO ok,trusted,0,0.1,1.0,no_op,0
12,50.55151125600881,0.019108275190438756,INFO ok,trusted,0,0.1,1.0,no_op,0
13,43.30130418842925,0.020470453523605627,INFO ok,trusted,0,0.1,1.0,no_op,0
14,52.69963992556827,0.016697948314485317,INFO ok,trusted,0,0.1,1.0,no_op,0
15,46.244157321884,0.0,INFO ok,trusted,0,0.1,1.0,no_op,0
16,48.81686449802672,0.01766188052143272,INFO ok,trusted,0,0.1,1.0,no_op,0
17,47.503413617812626,0.022863065529502544,INFO ok,trusted,0,0.1,1.0,no_op,0
18,54.23856681533443,0.006157500364296211,INFO ok,trusted,0,0.1,1.0,no_op,0
19,48.62468176728271,0.006846295151580327,INFO ok,trusted,0,0.1,1.0,no_op,0
20,54.155946452568216,0.013143507843459901,INFO ok,trusted,0,0.1,1.0,no_op,0
21,47.10465502278526,0.009230945035464464,INFO ok,trusted,0,0.1,1.0,no_op,0
22,52.66864836004218,0.011571986723476986,INFO ok,trusted,0,0.1,1.0,no_op,0
23,54.396600733346645,0.018481390927076343,INFO ok,trusted,0,0.1,1.0,no_op,0
24,52.02420143610521,0.03329805188232134,INFO ok,trusted,0,0.1,1.0,no_op,0
25,47.77718988499038,0.026369122524293114,INFO ok,trusted,0,0.1,1.0,no_op,0
26,49.996904724617146,0.03600960301785775,INFO ok,trusted,0,0.1,1.0,no_op,0
27,52.61533179870111,0.021388906806066765,INFO ok,trusted,0,0.1,1.0,no_op,0
28,54.751075038970534,0.03017719045053325,INFO ok,trusted,0,0.1,1.0,no_op,0
29,55.789450490454904,0.027640265091761335,INFO ok,trusted,0,0.1,1.0,no_op,0
30,58.62749178632679,0.03429126653161265,INFO ok,trusted,0,0.1,1.0,no_op,0
31,56.75833599755002,0.0,INFO ok,trusted,0,0.1,1.0,no_op,0
32,50.48844964140154,0.03332163689799329,INFO ok,trusted,0,0.1,1.0,no_op,0
33,59.341435089802815,0.03340201597153945,INFO ok,trusted,0,0.1,1.0,no_op,0
34,52.188173363393865,0.014804959360388316,INFO ok,trusted,0,0.1,1.0,no_op,0
35,52.78950904137081,0.011582878786680193,INFO ok,trusted,0,0.1,1.0,no_op,0
36,54.36775883268598,0.018284338625498296,INFO ok,trusted,0,0.1,1.0,no_op,0
37,50.52037856521471,0.024256461704120227,INFO ok,trusted,0,0.1,1.0,no_op,0
38,53.59512075148599,0.009726929568395522,INFO ok,trusted,0,0.1,1.0,no_op,0
39,59.72051139776315,0.013802430854433967,INFO ok,trusted,0,0.1,1.0,no_op,0
40,53.09798468496619,0.003164889266627665,INFO ok,trusted,0,0.1,1.0,no_op,0
41,57.97128396772193,0.030259803969550088,INFO ok,trusted,0,0.1,1.0,no_op,0
42,50.19400617019594,0.030406913801789136,INFO ok,trusted,0,0.1,1.0,no_op,0
43,55.63750955533324,0.02824201585394834,INFO ok,trusted,0,0.1,1.0,no_op,0
44,58.11477553616883,0.035085810518252485,INFO ok,trusted,0,0.1,1.0,no_op,0
45,59.20207974913806,0.033589336654231236,INFO ok,trusted,0,0.1,1.0,no_op,0
46,57.793485112543905,0.01617599242537406,INFO ok,trusted,0,0.1,1.0,no_op,0
47,55.18060931019506,0.0278931069898906,INFO ok,trusted,0,0.1,1.0,no_op,0
48,52.640842814534615,0.026312633372771548,INFO ok,trusted,0,0.1,1.0,no_op,0
49,53.93766500118177,0.005523233455034131,INFO ok,trusted,0,0.1,1.0,no_op,0
50,58.40896513104687,0.043547629061134005,INFO ok,trusted,0,0.1,1.0,no_op,0
51,48.62998511247551,0.025002844112744275,INFO ok,trusted,0,0.1,1.0,no_op,0
52,54.767996486406986,0.009815985909082638,INFO ok,trusted,0,0.1,1.0,no_op,0
53,54.71887738488224,0.0072106409774473895,INFO ok,trusted,0,0.1,1.0,no_op,0
54,55.958839866845665,0.008266234101350948,INFO ok,trusted,0,0.1,1.0,no_op,0
55,50.54492842944567,0.030407995959372137,INFO ok,trusted,0,0.1,1.0,no_op,0
56,52.64776781363142,0.0039239664603026615,INFO ok,trusted,0,0.1,1.0,no_op,0
57,55.056797486273425,0.011108968320002948,INFO ok,trusted,0,0.1,1.0,no_op,0
58,51.82620491161036,0.02471426400231032,INFO ok,trusted,0,0.1,1.0,no_op,0
59,55.34353733516359,0.019988762394756627,INFO ok,trusted,0,0.1,1.0,no_op,0
60,47.728167150309616,0.022676172870074684,INFO ok,trusted,0,0.1,1.0,no_op,0
61,52.98117890377007,0.02849678854049334,INFO ok,trusted,0,0.1,1.0,no_op,0
62,52.218654169853906,0.0,INFO ok,trusted,0,0.1,1.0,no_op,0
63,53.153799386743565,0.012812901605105871,INFO ok,trusted,0,0.1,1.0,no_op,0
64,45.88146565173506,0.008980389314433533,INFO ok,trusted,0,0.1,1.0,no_op,0
65,46.882952621412755,0.030817959136652008,INFO ok,trusted,0,0.1,1.0,no_op,0
66,44.56712587964786,0.0036853234653002782,INFO ok,trusted,0,0.1,1.0,no_op,0
67,50.78207070344335,0.008639670930733444,INFO ok,trusted,0,0.1,1.0,no_op,0
68,45.454451381226164,0.03290381249421194,INFO ok,trusted,0,0.1,1.0,no_op,0
69,47.19830413144072,0.015791591660831737,INFO ok,trusted,0,0.1,1.0,no_op,0
70,43.41397388173174,0.01938984435718746,INFO ok,trusted,0,0.1,1.0,no_op,0
71,39.81430185754854,0.021846482588326846,INFO ok,trusted,0,0.1,1.0,no_op,0
72,43.23996703566224,0.017620161800375893,INFO ok,trusted,0,0.1,1.0,no_op,0
73,38.339880225229756,0.023928995667063704,INFO ok,trusted,0,0.1,1.0,no_op,0
74,41.246452104257855,0.022274047810765345,INFO ok,trusted,0,0.1,1.0,no_op,0
75,45.082739089770676,0.031413337847469545,INFO ok,trusted,0,0.1,1.0,no_op,0
76,37.933724911181116,0.03986899957523433,INFO ok,trusted,0,0.1,1.0,no_op,0
77,38.16447650169444,0.003981326202227371,INFO ok,trusted,0,0.1,1.0,no_op,0
78,42.043207084651215,0.0,INFO ok,trusted,0,0.1,1.0,no_op,0
79,43.51647696043027,0.010194671198088342,INFO ok,trusted,0,0.1,1.0,no_op,0
80,35.234864166233315,0.019661204610146407,INFO ok,trusted,0,0.1,1.0,no_op,0
81,42.191043599530126,0.019288699966784784,INFO ok,trusted,0,0.1,1.0,no_op,0
82,40.6763499299966,0.022929047621976055,INFO ok,trusted,0,0.1,1.0,no_op,0
83,34.27911446879403,0.016973632585145382,INFO ok,trusted,0,0.1,1.0,no_op,0
84,39.28672429596813,0.043374822729199,INFO ok,trusted,0,0.1,1.0,no_op,0
85,37.15632095033044,0.02862610369772401,INFO ok,trusted,0,0.1,1.0,no_op,0
86,36.42354831792324,0.014416032368692936,INFO ok,trusted,0,0.1,1.0,no_op,0
87,30.54985432299196,0.03350082960587318,INFO ok,trusted,0,0.1,1.0,no_op,0
88,35.01501447164179,0.02637775997271589,INFO ok,trusted,0,0.1,1.0,no_op,0
89,30.527340609880056,0.017259781326718092,INFO ok,trusted,0,0.1,1.0,no_op,0
90,34.78668579113539,0.02097125683754211,INFO ok,trusted,0,0.1,1.0,no_op,0
91,32.096563172281634,0.027239862215268612,INFO ok,trusted,0,0.1,1.0,no_op,0
92,28.970421568402244,0.004749323632640565,INFO ok,trusted,0,0.1,1.0,no_op,0
93,36.02997856860474,0.013129033565256503,INFO ok,trusted,0,0.1,1.0,no_op,0
94,33.594425540177184,0.021531695439012587,INFO ok,trusted,0,0.1,1.0,no_op,0
95,33.005430532361224,0.027239053536171433,INFO ok,trusted,0,0.1,1.0,no_op,0
96,33.479061329306745,0.04173341588917906,INFO ok,trusted,0,0.1,1.0,no_op,0
97,33.719512048247495,0.021682270710932348,INFO ok,trusted,0,0.1,1.0,no_op,0
98,25.716827689009257,0.027584233947176504,INFO ok,trusted,0,0.1,1.0,no_op,0
99,24.70844898370845,0.006029873471818211,INFO ok,trusted,0,0.1,1.0,no_op,0
100,30.370600934708527,0.01281460679062214,INFO ok,trusted,0,0.1,1.0,no_op,0
101,27.319072432629063,0.030140729997561705,INFO ok,trusted,0,0.1,1.0,no_op,0
102,30.790848438887558,0.03356788212960274,INFO ok,trusted,0,0.1,1.0,no_op,0
103,24.70762017028327,0.02205036881035895,INFO ok,trusted,0,0.1,1.0,no_op,0
104,24.765978821490002,0.011644545780599872,INFO ok,trusted,0,0.1,1.0,no_op,0
105,28.014995311414697,0.0,INFO ok,trusted,0,0.1,1.0,no_op,0
106,28.922646198760766,0.011983830275689262,INFO ok,trusted,0,0.1,1.0,no_op,0
107,24.3707109492884,0.0,INFO ok,trusted,0,0.1,1.0,no_op,0
108,26.38141243190881,0.038963475449262236,INFO ok,trusted,0,0.1,1.0,no_op,0
109,30.58504639328646,0.005799236075770913,INFO ok,trusted,0,0.1,1.0,no_op,0
110,23.31227527441133,0.012171624300587616,INFO ok,trusted,0,0.1,1.0,no_op,0
111,24.63917373986724,0.013856050507754736,INFO ok,trusted,0,0.1,1.0,no_op,0
112,29.340423842361904,0.026258850763201856,INFO ok,trusted,0,0.1,1.0,no_op,0
113,25.653558286640788,0.034769496975165015,INFO ok,trusted,0,0.1,1.0,no_op,0
114,29.539532336980074,0.0,INFO ok,trusted,0,0.1,1.0,no_op,0
115,26.647998802342464,0.02415359758700114,INFO ok,trusted,0,0.1,1.0,no_op,0
116,24.367419149018897,0.0053645712756037,INFO ok,trusted,0,0.1,1.0,no_op,0
117,25.56632439219616,0.005156718426108563,INFO ok,trusted,0,0.1,1.0,no_op,0
118,23.29148262906776,0.013480890820475776,INFO ok,trusted,0,0.1,1.0,no_op,0
119,21.969187690213808,0.014522501888079475,INFO ok,trusted,0,0.1,1.0,no_op,0
120,24.263117932144493,0.005033795612881467,INFO ok,trusted,0,0.1,1.0,no_op,0
121,24.974208741425116,0.029531112986719933,INFO ok,trusted,0,0.1,1.0,no_op,0
122,29.373573261414016,0.023785120056378558,INFO ok,trusted,0,0.1,1.0,no_op,0
123,23.890720616320866,0.02327071926698608,INFO ok,trusted,0,0.1,1.0,no_op,0
124,25.71381155740788,0.01045071620479555,INFO ok,trusted,0,0.1,1.0,no_op,0
125,28.550913549908955,0.0376829108755897,INFO ok,trusted,0,0.1,1.0,no_op,0
126,26.103628338917165,0.017162129561807155,INFO ok,trusted,0,0.1,1.0,no_op,0
127,25.467643866276532,0.01158664391322201,INFO ok,trusted,0,0.1,1.0,no_op,0
128,25.772255007056337,0.013495901709643255,INFO ok,trusted,0,0.1,1.0,no_op,0
129,28.866581139399763,0.01448085519121236,INFO ok,trusted,0,0.1,1.0,no_op,0
