t,cpu,err,log,source,y,p,trust,action,drift
0,40.34335175027576,0.01526700350846575,INFO ok,trusted,0,0.5,1.0,scale_up,0
1,43.426796303232834,0.005474735037105202,INFO ok,trusted,0,0.49875000260416025,1.0,scale_up,0
2,37.27499012323891,0.02809447703016551,INFO ok,trusted,0,0.5386360139850045,1.0,scale_up,0
3,39.81268004264442,0.008659031878819482,INFO ok,trusted,0,0.49747820225082806,1.0,scale_up,0
4,38.34149686754873,0.01104750188808812,INFO ok,trusted,0,0.491794803075272,1.0,scale_up,0
5,38.164697134165266,0.012255804711376914,INFO ok,trusted,0,0.4872462567915182,1.0,scale_up,0
6,40.737418554684936,0.04398482784986346,INFO ok,trusted,0,0.5214253155093856,1.0,scale_up,0
7,42.8974248296015,0.013345203272189424,INFO ok,trusted,0,0.5074185569255584,1.0,scale_up,0
8,41.618356143231225,0.001256509163196723,INFO ok,trusted,0,0.4976294713935857,1.0,scale_up,0
9,45.65952369424525,0.004137892414961153,INFO ok,trusted,0,0.4754285670456008,1.0,scale_up,0
10,50.607208252225874,0.027863112449080518,INFO ok,trusted,0,0.43177110795492346,1.0,scale_up,0
11,49.98600079509636,0.015080566810498675,INFO ok,trusted,0,0.4199960230022483,1.0,scale_up,0
12,50.622539378783,0.027395346703725405,INFO ok,trusted,0,0.4096624180876906,1.0,scale_up,0
13,51.30567759153746,0.017961991341124195,INFO ok,trusted,0,0.3981688642352284,1.0,no_op,0
14,51.08740995569892,0.02130336864428956,INFO ok,trusted,0,0.39717655784736605,1.0,no_op,0
15,45.22281468047804,0.00978630451183102,INFO ok,trusted,0,0.4730670164569092,1.0,scale_up,0
16,53.08317466211821,0.026285292333117057,INFO ok,trusted,0,0.36555743740174707,1.0,no_op,0
17,53.051961933644435,0.0006989722694887082,INFO ok,trusted,0,0.37886980075119026,1.0,no_op,0
18,54.00188887343505,0.03604822101583313,INFO ok,trusted,0,0.35420107549199975,1.0,no_op,0
19,50.282198469210066,0.00786305133716643,INFO ok,trusted,0,0.4148188067782345,1.0,scale_up,0
20,51.223496257919656,0.032438124746857325,INFO ok,trusted,0,0.3877805866830016,1.0,no_op,0
21,54.158288026628604,0.01437820962329019,INFO ok,trusted,0,0.3478377696701146,1.0,no_op,0
22,50.121543489860684,0.025678631351299913,INFO ok,trusted,0,0.4059402180865146,1.0,scale_up,0
23,49.14001656916363,0.014080611972455782,INFO ok,trusted,0,0.4328816917966321,1.0,scale_up,0
24,53.473238593163785,0.022303150039762198,INFO ok,trusted,0,0.3450074275259243,1.0,no_op,0
25,56.89142892245814,0.025511761456686117,INFO ok,trusted,0,0.28222072770483614,1.0,no_op,0
26,48.21296693452404,0.020485524573679182,INFO ok,trusted,0,0.4518914235481965,1.0,scale_up,0
27,56.01241878928809,0.022413271936702638,INFO ok,trusted,0,0.29794657143712516,1.0,no_op,0
28,54.28969452282417,0.023347865322616075,INFO ok,trusted,0,0.3288366120733271,1.0,no_op,0
29,50.249772724330526,0.03537393330485488,INFO ok,trusted,0,0.38768347465926845,1.0,no_op,0
30,53.26381583063041,0.0218269857220924,INFO ok,trusted,0,0.34750888860484525,1.0,no_op,0
31,57.164975708482416,0.0323521596819315,INFO ok,trusted,0,0.24697750519458195,1.0,no_op,0
32,58.38987968683226,0.019551411406766143,INFO ok,trusted,0,0.2548709987342071,1.0,no_op,0
33,54.013546035876566,0.02955873847534539,INFO ok,trusted,0,0.3176849113039626,1.0,no_op,0
34,57.18458659449021,0.02580772568674818,INFO ok,trusted,0,0.2618471167390943,1.0,no_op,0
35,56.30330105046341,0.01419595057049983,INFO ok,trusted,0,0.31639249426552224,1.0,no_op,0
36,59.3185243231444,0.03243236963567542,INFO ok,trusted,0,0.20624364788016225,1.0,no_op,0
37,57.46653719648186,0.005079416216226429,INFO ok,trusted,0,0.32659473559552676,1.0,no_op,0
38,57.29516262676519,0.013349691258750195,INFO ok,trusted,0,0.29816393504792604,1.0,no_op,0
39,53.93547118583371,0.01888738165921376,INFO ok,trusted,0,0.3619882061497723,1.0,no_op,0
40,54.670410999665435,0.0,INFO ok,trusted,0,0.396303603454768,1.0,no_op,0
41,56.76997900154767,0.029204513801936033,INFO ok,trusted,0,0.2713216155980904,1.0,no_op,0
42,53.97462571016572,0.039062067156823935,INFO ok,trusted,0,0.3167984553884867,1.0,no_op,0
43,58.646568659948,0.034336300964824415,INFO ok,trusted,0,0.2128996197273816,1.0,no_op,0
44,59.68682973573334,0.017169918968007267,INFO ok,trusted,0,0.22999333549366027,1.0,no_op,0
45,56.33602332646002,0.026110807424658083,INFO ok,trusted,0,0.2866745076270183,1.0,no_op,0
46,51.284793488663965,0.0393126095646939,INFO ok,trusted,0,0.38266224701525664,1.0,no_op,0
47,57.906659176689985,0.021354990994657333,INFO ok,trusted,0,0.2587498693568318,1.0,no_op,0
48,52.80504267820331,0.01258194122189566,INFO ok,trusted,0,0.4362276471040704,1.0,scale_up,0
49,56.2279912071549,0.02578341738922171,INFO ok,trusted,0,0.28505302304960034,1.0,no_op,0
