t,cpu,err,log,source,y,p,trust,action,drift
0,43.12954657544299,0.0,INFO ok,trusted,0,0.1,1.0,no_op,0
1,39.176314220391276,0.029224395728969357,INFO ok,trusted,0,0.1,1.0,no_op,0
2,37.83413787342606,0.021554815435954323,INFO ok,trusted,0,0.1,1.0,no_op,0
3,45.63890584598377,0.025352598152978207,ERROR forged,untrusted,1,0.1,0.1,no_op,0
4,38.25988559199817,0.02311895688651137,INFO ok,trusted,0,0.1,1.0,no_op,0
5,47.62674359839734,0.036497852577376436,INFO ok,trusted,0,0.1,1.0,no_op,0
6,48.31970782215689,0.029689303413941652,ERROR forged,untrusted,1,0.1,0.1,no_op,0
7,40.948333908517846,0.015488541105488033,INFO ok,trusted,0,0.1,1.0,no_op,0
8,44.85834309581462,0.0170823704630125,INFO ok,trusted,0,0.1,1.0,no_op,0
9,47.4732122541284,0.028379767997575196,INFO ok,trusted,0,0.1,1.0,no_op,0
10,48.942806546338645,0.017428664000255355,INFO ok,trusted,0,0.1,1.0,no_op,0
11,42.23584350768318,0.03458644810528873,INFO ok,trusted,0,0.1,1.0,no_op,0
12,48.91185052542815,0.02482565007250663,INFO ok,trusted,0,0.1,1.0,no_op,0
13,46.55781325455556,0.017672186424365258,INFO ok,trusted,0,0.1,1.0,no_op,0
14,48.339445469596704,0.02232973159871297,INFO ok,trusted,0,0.1,1.0,no_op,0
15,49.874209204380385,0.021090741013336228,INFO ok,trusted,0,0.1,1.0,no_op,0
16,50.39850312473109,0.017289493554258076,INFO ok,trusted,0,0.1,1.0,no_op,0
17,51.807515708747935,0.029800439420975683,INFO ok,trusted,0,0.1,1.0,no_op,0
18,54.20141683895156,0.0284133099443004,INFO ok,trusted,0,0.1,1.0,no_op,0
19,50.60505983713845,0.013417503945393981,INFO ok,trusted,0,0.1,1.0,no_op,0
20,54.39987698544007,0.017027572960576744,INFO ok,trusted,0,0.1,1.0,no_op,0
21,53.417643244491565,0.006093681495279016,INFO ok,trusted,0,0.1,1.0,no_op,0
22,51.68976175684853,0.020320363688659852,INFO ok,trusted,0,0.1,1.0,no_op,0
23,53.614914720587585,0.058733894826066974,WARN retries,trusted,0,0.1,1.0,no_op,0
24,50.039603371419425,0.013952305229749783,ERROR forged,untrusted,1,0.1,0.1,no_op,0
25,50.452310370399616,0.014213055760744213,INFO ok,trusted,0,0.1,1.0,no_op,0
26,50.66251362706965,0.019851592289321977,INFO ok,trusted,0,0.1,1.0,no_op,0
27,48.91411120423521,0.0023911118312260095,INFO ok,trusted,0,0.1,1.0,no_op,0
28,52.02997484215058,0.027851730712691085,ERROR forged,untrusted,1,0.1,0.1,no_op,0
29,49.99479062670576,0.014137040574765754,INFO ok,trusted,0,0.1,1.0,no_op,0
30,50.00008359399476,0.0309561337487115,INFO ok,trusted,0,0.1,1.0,no_op,0
31,51.08484254653932,0.017901830906266323,INFO ok,trusted,0,0.1,1.0,no_op,0
32,54.371318228683975,0.026680922854127872,INFO ok,trusted,0,0.1,1.0,no_op,0
33,51.821314510908195,0.010642620301348948,INFO ok,trusted,0,0.1,1.0,no_op,0
34,52.09659832345425,0.005797293660203047,ERROR forged,untrusted,1,0.1,0.1,no_op,0
35,52.74124524150885,0.018494816385644836,INFO ok,trusted,0,0.1,1.0,no_op,0
36,52.857183945172245,0.018907875344261398,INFO ok,trusted,0,0.1,1.0,no_op,0
37,52.02604730752495,0.03350319186202344,INFO ok,trusted,0,0.1,1.0,no_op,0
38,53.16005694478857,0.0027070536940455477,ERROR forged,untrusted,1,0.1,0.1,no_op,0
39,53.54852491693333,0.027951999295076153,INFO ok,trusted,0,0.1,1.0,no_op,0
40,56.812442287946034,0.02377130160603299,INFO ok,trusted,0,0.1,1.0,no_op,0
41,57.022929512515674,0.01954653593024408,INFO ok,trusted,0,0.1,1.0,no_op,0
42,54.93473539084805,0.013869187932659089,INFO ok,trusted,0,0.1,1.0,no_op,0
43,56.636720325957604,0.012093500272653825,INFO ok,trusted,0,0.1,1.0,no_op,0
44,51.3105322232366,0.011118220007834396,INFO ok,trusted,0,0.1,1.0,no_op,0
45,54.80042320609645,0.02662303174114645,ERROR forged,untrusted,1,0.1,0.1,no_op,0
46,53.44520874512965,0.027284387709670968,INFO ok,trusted,0,0.1,1.0,no_op,0
47,49.34055296871378,0.015285068584975064,INFO ok,trusted,0,0.1,1.0,no_op,0
48,54.315964266052795,0.010857562171913497,INFO ok,trusted,0,0.1,1.0,no_op,0
49,53.926041018479744,0.026305471657258,INFO ok,trusted,0,0.1,1.0,no_op,0
50,55.49194454859694,0.011751205808776415,INFO ok,trusted,0,0.1,1.0,no_op,0
51,52.6946011682081,0.029314390482908237,INFO ok,trusted,0,0.1,1.0,no_op,0
52,48.863595954284364,0.03409280045959258,INFO ok,trusted,0,0.1,1.0,no_op,0
53,57.500607237964914,0.031947074314228364,INFO ok,trusted,0,0.1,1.0,no_op,0
54,48.578582864320275,0.04077593395433164,ERROR forged,untrusted,1,0.1,0.1,no_op,0
55,52.24828732491341,0.020848208785255708,INFO ok,trusted,0,0.1,1.0,no_op,0
56,54.59935296050503,0.01400296244310636,INFO ok,trusted,0,0.1,1.0,no_op,0
57,52.29269545866036,0.004032892890202457,INFO ok,trusted,0,0.1,1.0,no_op,0
